00,nop,,[No change],perform no operation
01,aconst_null,,→ null,push a null reference onto the stack
02,iconst_m1,,→ -1,load the int value -1 onto the stack
03,iconst_0,,→ 0,load the int value 0 onto the stack
04,iconst_1,,→ 1,load the int value 1 onto the stack
05,iconst_2,,→ 2,load the int value 2 onto the stack
06,iconst_3,,→ 3,load the int value 3 onto the stack
07,iconst_4,,→ 4,load the int value 4 onto the stack
08,iconst_5,,→ 5,load the int value 5 onto the stack
09,lconst_0,,→ 0L,push the long 0 onto the stack
0a,lconst_1,,→ 1L,push the long 1 onto the stack
0b,fconst_0,,→ 0.0f,push 0.0f on the stack
0c,fconst_1,,→ 1.0f,push 1.0f on the stack
0d,fconst_2,,→ 2.0f,push 2.0f on the stack
0e,dconst_0,,→ 0.0,push the constant 0.0 onto the stack
0f,dconst_1,,→ 1.0,push the constant 1.0 onto the stack
10,bipush,1: byte,→ value,push a byte onto the stack as an integer value
11,sipush,"2: byte1, byte2",→ value,push a short onto the stack
12,ldc,1: index,→ value,"push a constant #index from a constant pool (String, int or float) onto the stack"
13,ldc_w,"2: indexbyte1, indexbyte2",→ value,"push a constant #index from a constant pool (String, int or float) onto the stack (wide index is constructed as indexbyte1 << 8 + indexbyte2)"
14,ldc2_w,"2: indexbyte1, indexbyte2",→ value,push a constant #index from a constant pool (double or long) onto the stack (wide index is constructed asindexbyte1 << 8 + indexbyte2)
15,iload,1: index,→ value,load an int value from a local variable #index
16,lload,1: index,→ value,load a long value from a local variable #index
17,fload,1: index,→ value,load a float value from a local variable #index
18,dload,1: index,→ value,load a double value from a local variable #index
19,aload,1: index,→ objectref,load a reference onto the stack from a local variable#index
1a,iload_0,,→ value,load an int value from local variable 0
1b,iload_1,,→ value,load an int value from local variable 1
1c,iload_2,,→ value,load an int value from local variable 2
1d,iload_3,,→ value,load an int value from local variable 3
1e,lload_0,,→ value,load a long value from a local variable 0
1f,lload_1,,→ value,load a long value from a local variable 1
20,lload_2,,→ value,load a long value from a local variable 2
21,lload_3,,→ value,load a long value from a local variable 3
22,fload_0,,→ value,load a float value from local variable 0
23,fload_1,,→ value,load a float value from local variable 1
24,fload_2,,→ value,load a float value from local variable 2
25,fload_3,,→ value,load a float value from local variable 3
26,dload_0,,→ value,load a double from local variable 0
27,dload_1,,→ value,load a double from local variable 1
28,dload_2,,→ value,load a double from local variable 2
29,dload_3,,→ value,load a double from local variable 3
2a,aload_0,,→ objectref,load a reference onto the stack from local variable 0
2b,aload_1,,→ objectref,load a reference onto the stack from local variable 1
2c,aload_2,,→ objectref,load a reference onto the stack from local variable 2
2d,aload_3,,→ objectref,load a reference onto the stack from local variable 3
2e,iaload,,"arrayref, index → value",load an int from an array
2f,laload,,"arrayref, index → value",load a long from an array
30,faload,,"arrayref, index → value",load a float from an array
31,daload,,"arrayref, index → value",load a double from an array
32,aaload,,"arrayref, index → value",load onto the stack a reference from an array
33,baload,,"arrayref, index → value",load a byte or Boolean value from an array
34,caload,,"arrayref, index → value",load a char from an array
35,saload,,"arrayref, index → value",load short from array
36,istore,1: index,value →,store int value into variable #index
37,lstore,1: index,value →,store a long value in a local variable #index
38,fstore,1: index,value →,store a float value into a local variable #index
39,dstore,1: index,value →,store a double value into a local variable #index
3a,astore,1: index,objectref →,store a reference into a local variable #index
3b,istore_0,,value →,store int value into variable 0
3c,istore_1,,value →,store int value into variable 1
3d,istore_2,,value →,store int value into variable 2
3e,istore_3,,value →,store int value into variable 3
3f,lstore_0,,value →,store a long value in a local variable 0
40,lstore_1,,value →,store a long value in a local variable 1
41,lstore_2,,value →,store a long value in a local variable 2
42,lstore_3,,value →,store a long value in a local variable 3
43,fstore_0,,value →,store a float value into local variable 0
44,fstore_1,,value →,store a float value into local variable 1
45,fstore_2,,value →,store a float value into local variable 2
46,fstore_3,,value →,store a float value into local variable 3
47,dstore_0,,value →,store a double into local variable 0
48,dstore_1,,value →,store a double into local variable 1
49,dstore_2,,value →,store a double into local variable 2
4a,dstore_3,,value →,store a double into local variable 3
4b,astore_0,,objectref →,store a reference into local variable 0
4c,astore_1,,objectref →,store a reference into local variable 1
4d,astore_2,,objectref →,store a reference into local variable 2
4e,astore_3,,objectref →,store a reference into local variable 3
4f,iastore,,"arrayref, index, value →",store an int into an array
50,lastore,,"arrayref, index, value →",store a long to an array
51,fastore,,"arrayref, index, value →",store a float in an array
52,dastore,,"arrayref, index, value →",store a double into an array
53,aastore,,"arrayref, index, value →",store into a reference in an array
54,bastore,,"arrayref, index, value →",store a byte or Boolean value into an array
55,castore,,"arrayref, index, value →",store a char into an array
56,sastore,,"arrayref, index, value →",store short to array
57,pop,,value →,discard the top value on the stack
58,pop2,,"{value2, value1} →","discard the top two values on the stack (or one value, if it is a double or long)"
59,dup,,"value → value, value",duplicate the value on top of the stack
5a,dup_x1,,"value2, value1 → value1, value2, value1",insert a copy of the top value into the stack two values from the top. value1 and value2 must not be of the type double or long.
5b,dup_x2,,"value3, value2, value1 → value1, value3, value2, value1","insert a copy of the top value into the stack two (if value2 is double or long it takes up the entry of value3, too) or three values (if value2 is neither double nor long) from the top"
5c,dup2,,"{value2, value1} → {value2, value1}, {value2, value1}","duplicate top two stack words (two values, if value1 is not double nor long; a single value, if value1 is double or long)"
5d,dup2_x1,,"value3, {value2, value1} → {value2, value1}, value3, {value2, value1}",duplicate two words and insert beneath third word (see explanation above)
5e,dup2_x2,,"{value4, value3}, {value2, value1} → {value2, value1}, {value4, value3}, {value2, value1}",duplicate two words and insert beneath fourth word
5f,swap,,"value2, value1 → value1, value2",swaps two top words on the stack (note that value1 and value2 must not be double or long)
60,iadd,,"value1, value2 → result",add two ints
61,ladd,,"value1, value2 → result",add two longs
62,fadd,,"value1, value2 → result",add two floats
63,dadd,,"value1, value2 → result",add two doubles
64,isub,,"value1, value2 → result",int subtract
